,ticker,name,match_rate,match_count,whole_count,average_volume,average_price
2315,6268.T,ナブテスコ,0.65,39,60,583263.3333333334,4977.916666666667
2316,6269.T,三井海洋開発,0.7,42,60,250376.66666666666,2083.8333333333335
2337,6301.T,小松製作所,0.6,36,60,3159636.6666666665,3292.075
2338,6302.T,住友重機械工業,0.55,33,60,555556.6666666666,3093.233333333333
2340,6305.T,日立建機,0.6166666666666667,37,60,660086.6666666666,3365.383333333333
2346,6315.T,ＴＯＷＡ,0.6166666666666667,37,60,357853.3333333333,2115.0
2349,6319.T,シンニッタン,0.6166666666666667,37,60,311490.0,255.58333333333334
2352,6324.T,ハーモニック・ドライブ・システムズ,0.6833333333333333,41,60,236968.33333333334,7909.0
2354,6326.T,クボタ,0.6,36,60,2808978.3333333335,2493.516666666667
2355,6327.T,北川精機,0.6,36,60,207520.0,773.9166666666666
2357,6330.T,東洋エンジニアリング,0.6833333333333333,41,60,918211.6666666666,640.6
2380,6361.T,荏原製作所,0.7166666666666667,43,60,698985.0,4387.083333333333
2385,6366.T,千代田化工建設,0.6666666666666666,40,60,5256003.333333333,474.53333333333336
2386,6367.T,ダイキン工業,0.5333333333333333,32,60,776250.0,22354.416666666668
2389,6370.T,栗田工業,0.6166666666666667,37,60,381401.6666666667,4654.583333333333
2392,6376.T,日機装,0.6166666666666667,37,60,267033.3333333333,1138.65
2393,6378.T,木村化工機,0.5833333333333334,35,60,702361.6666666666,681.1166666666667
2398,6383.T,ダイフク,0.7,42,60,708686.6666666666,10873.0
2405,6395.T,タダノ,0.65,39,60,369846.6666666667,1130.1833333333334
2407,6400.T,不二精機,0.6,36,60,399621.6666666667,711.55
2412,6407.T,ＣＫＤ,0.6166666666666667,37,60,525118.3333333334,2363.55
2416,6412.T,平和,0.5833333333333334,35,60,338125.0,1782.3
2420,6417.T,ＳＡＮＫＹＯ,0.5833333333333334,35,60,267578.3333333333,2977.6
2428,6432.T,竹内製作所,0.6333333333333333,38,60,232400.0,2903.016666666667
2429,6433.T,ヒーハイスト,0.65,39,60,229405.0,383.56666666666666
2431,6440.T,ＪＵＫＩ,0.5666666666666667,34,60,511435.0,848.6166666666667
2432,6444.T,サンデンホールディングス,0.7166666666666667,43,60,293338.3333333333,398.3666666666667
2433,6445.T,蛇の目ミシン工業,0.75,45,60,456485.0,836.0333333333333
2434,6448.T,ブラザー工業,0.7,42,60,881856.6666666666,2376.45
2437,6457.T,グローリー,0.6166666666666667,37,60,248933.33333333334,2369.5833333333335
2440,6460.T,セガサミーホールディングス,0.5833333333333334,35,60,870086.6666666666,1726.3166666666666
2444,6464.T,ツバキ・ナカシマ,0.7,42,60,462495.0,1476.0666666666666
2449,6470.T,大豊工業,0.65,39,60,279451.6666666667,932.35
2450,6471.T,日本精工,0.65,39,60,2524036.6666666665,1088.1333333333334
2451,6472.T,ＮＴＮ,0.6,36,60,5412186.666666667,326.93333333333334
2452,6473.T,ジェイテクト,0.6833333333333333,41,60,1765568.3333333333,1126.9666666666667
2454,6479.T,ミネベアミツミ,0.65,39,60,1448018.3333333333,2742.5833333333335
2455,6480.T,日本トムソン,0.55,33,60,494911.6666666667,617.5666666666667
2456,6481.T,ＴＨＫ,0.6166666666666667,37,60,633660.0,3732.0833333333335
2466,6494.T,ＮＦＫホールディングス,0.6666666666666666,40,60,333795.0,123.31666666666666
2467,6495.T,宮入バルブ製作所,0.75,45,60,258711.66666666666,166.05
2470,6498.T,キッツ,0.7,42,60,239051.66666666666,641.3166666666667
2471,6501.T,日立製作所,0.6833333333333333,41,60,3682248.3333333335,5107.866666666667
2472,6502.T,東芝,0.6166666666666667,37,60,5058941.666666667,3913.6666666666665
2473,6503.T,三菱電機,0.55,33,60,4164841.6666666665,1673.1916666666666
2474,6504.T,富士電機,0.65,39,60,633055.0,4678.416666666667
2476,6506.T,安川電機,0.6666666666666666,40,60,1513411.6666666667,5493.833333333333
2478,6508.T,明電舎,0.6333333333333333,38,60,204948.33333333334,2424.45
2484,6532.T,ベイカレント・コンサルティング,0.7166666666666667,43,60,216226.66666666666,24254.833333333332
2486,6535.T,アイモバイル,0.6333333333333333,38,60,293221.6666666667,1381.2333333333333
2488,6538.T,キャリアインデックス,0.65,39,60,226415.0,625.65
2491,6541.T,グレイステクノロジー,0.7166666666666667,43,60,571998.3333333334,2864.7
2494,6544.T,ジャパンエレベーターサービスホールディングス,0.6,36,60,334105.0,2313.983333333333
2506,6556.T,ウェルビー,0.4666666666666667,28,60,214271.66666666666,1508.0333333333333
2521,6572.T,ＲＰＡホールディングス,0.6,36,60,350380.0,681.1833333333333
2529,6580.T,ライトアップ,0.55,33,60,313618.3333333333,2832.75
2530,6584.T,三櫻工業,0.6666666666666666,40,60,1451056.6666666667,1129.3833333333334
2531,6586.T,マキタ,0.6833333333333333,41,60,722376.6666666666,4863.166666666667
2534,6592.T,マブチモーター,0.6333333333333333,38,60,260570.0,4880.833333333333
2535,6594.T,日本電産,0.65,39,60,2143745.0,13687.0
2539,6612.T,バルミューダ,0.5333333333333333,32,60,289556.6666666667,6839.0
2541,6614.T,シキノハイテック,0.4230769230769231,11,26,2690800.0,1929.923076923077
2542,6615.T,ユー・エム・シー・エレクトロニクス,0.6333333333333333,38,60,453900.0,861.4333333333333
2546,6619.T,ダブル・スコープ,0.6,36,60,1697155.0,790.4
2547,6620.T,宮越ホールディングス,0.6166666666666667,37,60,442163.3333333333,943.8666666666667
2549,6625.T,ＪＡＬＣＯホールディングス,0.5166666666666667,31,60,245010.0,219.1
2552,6628.T,オンキヨーホームエンターテイメント,0.7,42,60,39315420.0,11.816666666666666
2553,6629.T,テクノホライゾン,0.5333333333333333,32,60,942773.3333333334,1122.2833333333333
2554,6630.T,ヤーマン,0.6,36,60,658878.3333333334,1660.9666666666667
2555,6632.T,ＪＶＣケンウッド,0.7,42,60,3412083.3333333335,219.95
2557,6634.T,ネクスグループ,0.5833333333333334,35,60,227676.66666666666,198.66666666666666
2566,6645.T,オムロン,0.7833333333333333,47,60,647643.3333333334,8998.666666666666
2575,6659.T,メディアリンクス,0.7,42,60,672183.3333333334,443.55
2581,6670.T,ＭＣＪ,0.6,36,60,355108.3333333333,975.2333333333333
2582,6674.T,ジーエス・ユアサ　コーポレーション,0.5833333333333334,35,60,427155.0,3117.016666666667
2590,6697.T,テックポイント・インク　ＪＤＲ,0.7,42,60,200313.33333333334,1296.0
2592,6699.T,ダイヤモンドエレクトリックホールディングス,0.5166666666666667,31,60,564671.6666666666,2840.85
2593,6701.T,日本電気,0.6333333333333333,38,60,1248638.3333333333,6381.666666666667
2594,6702.T,富士通,0.6166666666666667,37,60,652871.6666666666,16054.916666666666
2595,6703.T,沖電気工業,0.65,39,60,514456.6666666667,1133.1666666666667
2602,6721.T,ウインテスト,0.6166666666666667,37,60,852351.6666666666,294.68333333333334
2603,6723.T,ルネサスエレクトロニクス,0.6,36,60,10071751.666666666,1227.7333333333333
